
3106,Ruby,Bailey,Female,18,2,Athletics Journalism Club Business Club
3107,Jackson,Gray,Male,20,2,AISEC Business Club Computer Science Club
3108,Abigail,Parker,Female,19,2,Journalism Club Red Cross Society AISEC
3109,Lucas,Ross,Male,21,2,Rugby AISEC
3110,Amelia,Lee,Female,18,2,Swimming Business Club Red Cross Society
3111,Ethan,Carter,Male,20,2,Soccer Red Cross Society AISEC
3112,Riley,Turner,Female,19,2,Athletics Journalism Club Business Club
3113,Julian,Peterson,Male,21,2,AISEC Business Club Computer Science Club
3114,Aurora,Jones,Female,18,2,Journalism Club Red Cross Society AISEC
3115,Isaac,Miller,Male,20,2,Rugby AISEC
3116,Ella,Wilson,Female,19,2,Swimming Business Club Red Cross Society
3117,Leo,Martin,Male,21,2,Soccer Red Cross Society AISEC
3118,Ruby,Garcia,Female,18,2,Athletics Journalism Club Business Club
3119,Henry,Anderson,Male,20,2,AISEC Business Club Computer Science Club
3120,Aubrey,Hernandez,Female,19,2,Journalism Club Red Cross Society AISEC
3121,Owen,Robinson,Male,21,2,Rugby AISEC
3122,Amelia,Clark,Female,18,2,Swimming Business Club Red Cross Society
3123,Lucas,Rodriguez,Male,20,2,Soccer Red Cross Society AISEC
3124,Avery,Lewis,Female,19,2,Athletics Journalism Club Business Club
3125,Levi,Lee,Male,21,2,AISEC Business Club Computer Science Club
3126,Madison,Walker,Female,18,2,Journalism Club Red Cross Society AISEC
3127,Ethan,Hall,Male,20,2,Rugby AISEC
3128,Scarlett,Allen,Female,19,2,Swimming Business Club Red Cross Society
3129,Isaiah,Young,Male,21,2,Soccer Red Cross Society AISEC
3130,Charlotte,King,Female,18,2,Athletics Journalism Club Business Club
3131,Aiden,Harris,Male,20,2,AISEC Business Club Computer Science Club
3132,Isabella,Evans,Female,19,2,Journalism Club Red Cross Society AISEC
3133,Noah,Moore,Male,21,2,Rugby AISEC
3134,Ella,Barnes,Female,18,2,Swimming Business Club Red Cross Society
3135,Caleb,Bailey,Male,20,2,Soccer Red Cross Society AISEC
3136,Ruby,Gray,Female,19,2,Athletics Journalism Club Business Club
3137,Jackson,Parker,Male,21,2,AISEC Business Club Computer Science Club
3138,Abigail,Ross,Female,18,2,Journalism Club Red Cross Society AISEC
3139,Lucas,Lee,Male,20,2,Rugby AISEC
3140,Amelia,Carter,Female,19,2,Swimming Business Club Red Cross Society
3141,Ethan,Turner,Male,21,2,Soccer Red Cross Society AISEC
3142,Riley,Peterson,Female,18,2,Athletics Journalism Club Business Club
3143,Julian,Jones,Male,20,2,AISEC Business Club Computer Science Club
3144,Aurora,Miller,Female,19,2,Journalism Club Red Cross Society AISEC








































